current_position	current_torque	current_velocity	demanded_torque	event_id	event_type	prediction	timestamp
46.06593	0.0	0.0	0.12	99			5268.6616961
46.06593	0.0	0.0	-0.372	99			5269.0352425
46.06593	0.0	0.0	-0.113	99			5269.0543239
46.06593	0.0	0.0	-0.429	99			5269.0822416
46.06593	0.0	0.0	-0.287	99			5269.0992771
46.06593	0.0	0.0	0.284	99			5269.1152974
46.06593	0.0	0.0	-0.038	99			5269.1311548
46.06593	0.0	0.0	0.4	99			5269.1547244
46.06593	0.0	0.0	-0.37	99			5269.1862999
46.06593	0.0	0.0	-0.302	99			5269.2071234
46.06593	0.0	0.0	-0.148	99			5269.2258153
46.06593	0.0	0.0	-0.328	99			5269.2498455
46.06593	0.0	0.0	-0.262	99			5269.2709566
46.06593	0.0	0.0	-0.204	99			5269.291245
46.06593	0.0	0.0	-0.361	99			5269.3086513
46.06593	0.0	0.0	0.423	99			5269.3256753
46.06593	0.0	0.0	0.194	99			5269.3460705
46.06593	0.0	0.0	0.077	99			5269.370774
46.06593	0.0	0.0	0.174	99			5269.3870388
46.06593	0.0	0.0	-0.411	99			5269.408537
46.06593	0.0	0.0	-0.235	99			5269.4257539
46.06593	0.0	0.0	-0.004	99			5269.4465753
46.06593	0.0	0.0	0.118	99			5269.4707605
46.06593	0.0	0.0	-0.112	99			5269.4916246
46.06593	0.0	0.0	0.02	99			5269.5087557
46.06593	0.0	0.0	0.126	99			5269.5259212
46.06593	0.0	0.0	0.319	99			5269.5463369
46.06593	0.0	0.0	-0.252	99			5269.5690064
46.06593	0.0	0.0	-0.376	99			5269.5887581
46.06593	0.0	0.0	0.074	99			5269.608981
46.06593	0.0	0.0	0.362	99			5269.6512064
46.06593	0.0	0.0	0.218	99			5269.6699414
46.06593	0.0	0.0	0.186	99			5269.6912484
46.06593	0.0	0.0	-0.455	99			5269.7078294
46.06593	0.0	0.0	-0.236	99			5269.7263939
46.06593	0.0	0.0	-0.219	99			5269.7465661
46.06593	0.0	0.0	0.161	99			5269.7953669
46.06593	0.0	0.0	-0.265	99			5269.8129936
46.06593	0.0	0.0	-0.128	99			5269.8290124
46.06593	0.0	0.0	0.03	99			5269.8528873
46.06593	0.0	0.0	0.343	99			5269.8687056
46.06593	0.0	0.0	0.011	99			5269.8902102
46.06593	0.0	0.0	-0.02	99			5269.9069187
46.06593	0.0	0.0	-0.225	99			5269.9257037
46.06593	0.0	0.0	0.333	99			5269.9459068
46.06593	0.0	0.0	0.457	99			5269.9711094
46.06593	0.0	0.0	-0.418	99			5269.9874723
46.06593	0.0	0.0	-0.409	99			5270.008373
46.06593	0.0	0.0	0.408	99			5270.0260113
46.06593	0.0	0.0	0.446	99			5270.0457344
46.06593	0.0	0.0	-0.481	99			5270.0722412
46.06593	0.0	0.0	-0.256	99			5270.0887121
46.06593	0.0	0.0	-0.404	99			5270.1084429
46.06593	0.0	0.0	-0.107	99			5270.1260283
46.06593	0.0	0.0	-0.283	99			5270.1461276
46.06593	0.0	0.0	-0.301	99			5270.1703523
46.06593	0.0	0.0	0.016	99			5270.1876795
46.06593	0.0	0.0	0.132	99			5270.2094558
46.06593	0.0	0.0	0.472	99			5270.2269318
46.06593	0.0	0.0	0.379	99			5270.2461105
46.06593	0.0	0.0	0.068	99			5270.2695847
46.06593	0.0	0.0	-0.307	99			5270.2881355
46.06593	0.0	0.0	-0.04	99			5270.308757
46.06593	0.0	0.0	0.367	99			5270.3263774
46.06593	0.0	0.0	0.263	99			5270.3464273
46.06593	0.0	0.0	-0.024	99			5270.3693502
46.06593	0.0	0.0	-0.464	99			5270.3886172
46.06593	0.0	0.0	-0.398	99			5270.4091337
46.06593	0.0	0.0	0.061	99			5270.4257131
46.06593	0.0	0.0	0.199	99			5270.4462938
46.06593	0.0	0.0	0.294	99			5270.4692664
46.06593	0.0	0.0	0.418	99			5270.4890659
46.06593	0.0	0.0	0.251	99			5270.5086866
46.06593	0.0	0.0	0.389	99			5270.5260444
46.06593	0.0	0.0	-0.1	99			5270.5457172
46.06593	0.0	0.0	0.2	99			5270.5696416
46.06593	0.0	0.0	-0.371	99			5270.5885082
46.06593	0.0	0.0	-0.366	99			5270.6101914
46.06593	0.0	0.0	0.093	99			5270.6260474
46.06593	0.0	0.0	0.439	99			5270.6563405
