current_position	current_torque	current_velocity	demanded_torque	event_id	event_type	prediction	timestamp
117.8022	0.0	0.0	-0.187	99			7123.10824
117.8022	0.0	0.0	-0.003	99			7123.4608641
117.89011	0.0	0.0	-0.222	99			7123.4763234
117.8022	0.0	0.0	0.114	99			7123.50023
117.8022	0.0	0.0	0.315	99			7123.5169603
117.8022	0.0	0.0	0.186	99			7123.5343994
117.8022	0.0	0.0	0.232	99			7123.554342
117.8022	0.0	0.0	-0.054	99			7123.5774855
117.8022	0.0	0.0	0.142	99			7123.5943667
117.8022	0.0	0.0	0.427	99			7123.6141254
117.8022	0.0	0.0	-0.367	99			7123.6341366
117.8022	0.0	0.0	-0.119	99			7123.6555256
117.8022	0.0	0.0	-0.062	99			7123.6774793
117.8022	0.0	0.0	-0.154	99			7123.6941006
117.8022	0.0	0.0	0.164	99			7123.7140736
117.8022	0.0	0.0	0.337	99			7123.7356593
117.8022	0.0	0.0	0.31	99			7123.7542125
117.8022	0.0	0.0	0.064	99			7123.7783101
117.8022	0.0	0.0	0.008	99			7123.7952533
117.8022	0.0	0.0	-0.491	99			7123.8153733
117.8022	0.0	0.0	0.16	99			7123.8342681
117.8022	0.0	0.0	-0.214	99			7123.8609766
117.8022	0.0	0.0	-0.065	99			7123.8780348
117.8022	0.0	0.0	-0.124	99			7123.8963728
117.8022	0.0	0.0	0.435	99			7123.9178179
117.8022	0.0	0.0	0.499	99			7123.9340452
117.8022	0.0	0.0	0.468	99			7123.9584708
117.8022	0.0	0.0	-0.133	99			7123.976027
117.8022	0.0	0.0	0.015	99			7123.9963601
117.8022	0.0	0.0	-0.249	99			7124.0141445
117.8022	0.0	0.0	-0.212	99			7124.0341795
117.8022	0.0	0.0	-0.14	99			7124.0545432
117.8022	0.0	0.0	-0.03	99			7124.0750378
117.8022	0.0	0.0	0.054	99			7124.0942608
117.8022	0.0	0.0	0.112	99			7124.1141487
117.8022	0.0	0.0	-0.392	99			7124.1340623
117.8022	0.0	0.0	0.109	99			7124.1613435
117.8022	0.0	0.0	-0.195	99			7124.1774623
117.8022	0.0	0.0	-0.173	99			7124.1971447
117.8022	0.0	0.0	-0.29	99			7124.2141529
117.8022	0.0	0.0	0.194	99			7124.2359259
117.8022	0.0	0.0	0.108	99			7124.253973
117.8022	0.0	0.0	0.323	99			7124.2760846
117.8022	0.0	0.0	-0.214	99			7124.2947325
117.8022	0.0	0.0	-0.269	99			7124.3142577
117.8022	0.0	0.0	-0.272	99			7124.3340582
117.8022	0.0	0.0	-0.243	99			7124.3539225
117.8022	0.0	0.0	0.075	99			7124.3770645
117.8022	0.0	0.0	-0.198	99			7124.3938795
117.8022	0.0	0.0	0.354	99			7124.4139906
117.8022	0.0	0.0	-0.17	99			7124.4338914
117.8022	0.0	0.0	-0.431	99			7124.4538392
