current_position	current_torque	current_velocity	demanded_torque	event_id	event_type	prediction	timestamp
117.8022	0.0	0.0	0.313	99			7209.3451035
117.8022	0.0	0.0	0.156	99			7209.7208283
117.8022	0.0	0.0	-0.317	99			7209.734714
117.8022	0.0	0.0	0.497	99			7209.755769
117.8022	0.0	0.0	-0.09	99			7209.7745617
117.8022	0.0	0.0	-0.065	99			7209.7978998
117.8022	0.0	0.0	-0.018	99			7209.8145768
117.8022	0.0	0.0	-0.16	99			7209.8345527
117.8022	0.0	0.0	-0.075	99			7209.8552135
117.8022	0.0	0.0	-0.117	99			7209.8749558
117.8022	0.0	0.0	-0.086	99			7209.897856
117.8022	0.0	0.0	0.451	99			7209.9169347
117.8022	0.0	0.0	-0.009	99			7209.9382377
117.8022	0.0	0.0	0.262	99			7209.9545007
117.8022	0.0	0.0	-0.478	99			7209.9767858
117.8022	0.0	0.0	0.144	99			7209.9969144
117.8022	0.0	0.0	0.323	99			7210.0160353
117.8022	0.0	0.0	0.086	99			7210.0408578
117.8022	0.0	0.0	-0.085	99			7210.0574813
117.8022	0.0	0.0	-0.355	99			7210.0742683
117.8022	0.0	0.0	0.499	99			7210.0985714
117.8022	0.0	0.0	0.182	99			7210.1152429
117.8022	0.0	0.0	0.006	99			7210.1346679
117.8022	0.0	0.0	0.361	99			7210.1549497
117.8022	0.0	0.0	-0.299	99			7210.1747104
117.8022	0.0	0.0	-0.462	99			7210.1972789
117.8022	0.0	0.0	-0.243	99			7210.2145989
117.8022	0.0	0.0	-0.411	99			7210.2348843
117.8022	0.0	0.0	0.477	99			7210.2553728
117.8022	0.0	0.0	0.295	99			7210.2745263
117.8022	0.0	0.0	0.045	99			7210.294803
117.8022	0.0	0.0	-0.473	99			7210.3164942
117.8022	0.0	0.0	-0.472	99			7210.3395479
117.8022	0.0	0.0	-0.209	99			7210.3566894
117.8022	0.0	0.0	0.458	99			7210.374914
117.8022	0.0	0.0	-0.119	99			7210.3947982
117.8022	0.0	0.0	0.198	99			7210.4144118
117.8022	0.0	0.0	0.451	99			7210.4357246
117.8022	0.0	0.0	0.028	99			7210.4558959
117.8022	0.0	0.0	-0.268	99			7210.4744078
117.8022	0.0	0.0	-0.161	99			7210.494717
117.8022	0.0	0.0	0.258	99			7210.5147169
117.8022	0.0	0.0	0.483	99			7210.534399
117.8022	0.0	0.0	0.058	99			7210.5543355
117.8022	0.0	0.0	-0.159	99			7210.574398
117.8022	0.0	0.0	0.18	99			7210.5949566
117.8022	0.0	0.0	0.427	99			7210.6148247
117.8022	0.0	0.0	0.233	99			7210.6344083
117.8022	0.0	0.0	-0.416	99			7210.6544336
117.8022	0.0	0.0	0.324	99			7210.6742564
117.8022	0.0	0.0	-0.243	99			7210.6951345
117.8022	0.0	0.0	0.288	99			7210.7146592
117.8022	0.0	0.0	-0.319	99			7210.7351945
117.8022	0.0	0.0	-0.27	99			7210.7543984
117.8022	0.0	0.0	0.289	99			7210.7745487
117.8022	0.0	0.0	0.391	99			7210.796922
117.8022	0.0	0.0	-0.429	99			7210.8146395
117.8022	0.0	0.0	0.469	99			7210.8370786
117.8022	0.0	0.0	-0.456	99			7210.8550247
117.8022	0.0	0.0	0.146	99			7210.8743275
117.8022	0.0	0.0	0.008	99			7210.8983734
117.8022	0.0	0.0	-0.206	99			7210.9144817
117.8022	0.0	0.0	-0.061	99			7210.9353083
117.8022	0.0	0.0	-0.394	99			7210.9541978
117.8022	0.0	0.0	-0.391	99			7210.9747711
117.8022	0.0	0.0	-0.35	99			7210.9943148
117.8022	0.0	0.0	0.315	99			7211.0146593
117.8022	0.0	0.0	0.13	99			7211.0344596
117.8022	0.0	0.0	0.278	99			7211.0543532
117.8022	0.0	0.0	0.33	99			7211.0744509
117.8022	0.0	0.0	-0.137	99			7211.0970054
117.8022	0.0	0.0	0.455	99			7211.1147789
117.8022	0.0	0.0	0.273	99			7211.1354644
117.8022	0.0	0.0	-0.269	99			7211.1543877
117.8022	0.0	0.0	-0.454	99			7211.1742548
117.8022	0.0	0.0	0.3	99			7211.1942349
117.8022	0.0	0.0	0.032	99			7211.2153194
117.8022	0.0	0.0	-0.411	99			7211.2344356
117.8022	0.0	0.0	-0.422	99			7211.2587155
117.8022	0.0	0.0	-0.305	99			7211.2752849
117.8022	0.0	0.0	0.137	99			7211.2985291
117.8022	0.0	0.0	0.048	99			7211.3147423
117.8022	0.0	0.0	-0.243	99			7211.3346598
117.8022	0.0	0.0	-0.068	99			7211.3542908
117.8022	0.0	0.0	-0.332	99			7211.3743951
117.8022	0.0	0.0	-0.275	99			7211.3941792
117.8022	0.0	0.0	-0.328	99			7211.415541
117.8022	0.0	0.0	-0.39	99			7211.4351691
117.8022	0.0	0.0	0.137	99			7211.4541834
117.8022	0.0	0.0	-0.137	99			7211.474778
117.8022	0.0	0.0	0.101	99			7211.494468
117.8022	0.0	0.0	0.0	99			7211.5155492
117.8022	0.0	0.0	0.195	99			7211.5344269
117.8022	0.0	0.0	-0.251	99			7211.5543523
117.8022	0.0	0.0	0.258	99			7211.5743117
117.8022	0.0	0.0	-0.358	99			7211.5963753
117.8022	0.0	0.0	-0.453	99			7211.6151706
117.8022	0.0	0.0	-0.256	99			7211.6357246
117.8022	0.0	0.0	0.195	99			7211.6562472
117.8022	0.0	0.0	-0.315	99			7211.6756979
117.8022	0.0	0.0	-0.201	99			7211.6944928
117.8022	0.0	0.0	-0.441	99			7211.7162707
117.8022	0.0	0.0	0.074	99			7211.73443
117.8022	0.0	0.0	-0.21	99			7211.7584734
117.8022	0.0	0.0	0.411	99			7211.776348
