current_position	current_torque	current_velocity	demanded_torque	event_id	event_type	prediction	timestamp
145.4066	0.0	0.0	0.341	99			7028.5797083
145.49451	0.0	0.0	-0.216	99			7028.6190681
145.49451	0.0	0.0	-0.265	99			7028.6190681
145.49451	0.0	0.0	-0.131	99			7028.6190681
145.49451	0.0	0.0	-0.242	99			7028.6190681
145.49451	0.0	0.0	0.163	99			7028.6190681
145.4066	0.0	0.0	-0.015	99			7028.6190681
145.4066	0.0	0.0	0.138	99			7028.6190681
145.49451	0.0	0.0	-0.241	99			7028.6190681
145.4066	0.0	0.0	0.329	99			7028.6190681
145.49451	0.0	0.0	0.425	99			7028.6190681
145.49451	0.0	0.0	-0.148	99			7028.6190681
145.49451	0.0	0.0	-0.225	99			7028.6190681
145.49451	0.0	0.0	-0.007	99			7028.6190681
145.4066	0.0	0.0	0.117	99			7028.6190681
145.49451	0.0	0.0	-0.478	99			7028.6190681
145.49451	0.0	0.0	0.38	99			7028.6190681
145.4066	0.0	0.0	-0.276	99			7028.6190681
145.49451	0.0	0.0	-0.036	99			7028.6190681
145.4066	0.0	0.0	-0.229	99			7028.6190681
145.49451	0.0	0.0	-0.251	99			7028.6190681
145.4066	0.0	0.0	0.046	99			7028.6190681
145.49451	0.0	0.0	-0.093	99			7028.6190681
145.49451	0.0	0.0	0.159	99			7028.6190681
145.4066	0.0	0.0	0.067	99			7028.6190681
145.49451	0.0	0.0	-0.26	99			7028.6190681
145.4066	0.0	0.0	0.013	99			7028.6190681
145.49451	0.0	0.0	0.439	99			7028.6190681
145.4066	0.0	0.0	0.075	99			7028.6190681
145.49451	0.0	0.0	0.151	99			7028.6190681
145.49451	0.0	0.0	-0.373	99			7028.6190681
145.49451	0.0	0.0	-0.164	99			7028.6190681
145.49451	0.0	0.0	-0.491	99			7028.6190681
145.4066	0.0	0.0	0.113	99			7028.6190681
145.49451	0.0	0.0	0.072	99			7028.6190681
145.4066	0.0	0.0	-0.203	99			7028.6190681
145.4066	0.0	0.0	0.264	99			7028.6190681
145.49451	0.0	0.0	0.034	99			7028.6190681
