current_position	current_torque	current_velocity	demanded_torque	event_id	event_type	prediction	timestamp
152.61539	0.0	0.0	-0.192	99			2623.1952728
152.61539	0.0	0.0	-0.44	99			2623.5331346
152.61539	0.0	0.0	0.042	99			2623.5550982
152.61539	0.0	0.0	0.398	99			2623.5776323
152.61539	0.0	0.0	-0.308	99			2623.5891431
152.61539	0.0	0.0	0.5	99			2623.6130428
152.61539	0.0	0.0	-0.373	99			2623.6359761
152.61539	0.0	0.0	-0.043	99			2623.659701
152.61539	0.0	0.0	0.245	99			2623.6717367
152.61539	0.0	0.0	-0.473	99			2623.6948017
152.61539	0.0	0.0	-0.428	99			2623.7056468
152.61539	0.0	0.0	-0.166	99			2623.7414341
152.61539	0.0	0.0	-0.05	99			2623.764594
152.61539	0.0	0.0	-0.481	99			2623.7759686
152.61539	0.0	0.0	-0.033	99			2623.8001282
152.61539	0.0	0.0	-0.414	99			2623.8120124
152.61539	0.0	0.0	0.005	99			2623.8350091
152.61539	0.0	0.0	0.365	99			2623.8574286
152.61539	0.0	0.0	0.121	99			2623.8931526
152.61539	0.0	0.0	0.401	99			2623.9151023
152.61539	0.0	0.0	0.018	99			2623.9390813
152.61539	0.0	0.0	0.444	99			2623.9619782
152.61539	0.0	0.0	-0.358	99			2623.9732204
152.61539	0.0	0.0	0.109	99			2623.9973926
152.61539	0.0	0.0	-0.449	99			2624.0089902
152.61539	0.0	0.0	0.204	99			2624.032033
152.61539	0.0	0.0	-0.437	99			2624.053705
152.61539	0.0	0.0	-0.421	99			2624.0759611
152.61539	0.0	0.0	0.392	99			2624.0870557
152.61539	0.0	0.0	-0.223	99			2624.1100449
152.61539	0.0	0.0	-0.386	99			2624.1331059
152.61539	0.0	0.0	0.101	99			2624.1558499
152.61539	0.0	0.0	-0.095	99			2624.1669482
152.61539	0.0	0.0	-0.072	99			2624.2125621
152.61539	0.0	0.0	-0.197	99			2624.2362118
152.61539	0.0	0.0	0.358	99			2624.260979
152.61539	0.0	0.0	-0.19	99			2624.2721344
152.61539	0.0	0.0	-0.122	99			2624.2950913
152.61539	0.0	0.0	0.199	99			2624.307127
152.61539	0.0	0.0	-0.135	99			2624.3421822
