current_position	current_torque	current_velocity	demanded_torque	event_id	event_type	prediction	timestamp
169.67033	0.0	0.0	0.119	99			5912.3709674
169.67033	0.0	0.0	-0.192	99			5912.7783929
169.67033	0.0	0.0	0.156	99			5912.783172
169.75824	0.0	0.0	0.191	99			5912.8023465
169.67033	0.0	0.0	-0.064	99			5912.831114
169.75824	0.0	0.0	-0.294	99			5912.8476569
169.67033	0.0	0.0	0.153	99			5912.8652823
169.67033	0.0	0.0	-0.319	99			5912.8830087
169.67033	0.0	0.0	-0.414	99			5912.9031287
169.67033	0.0	0.0	0.327	99			5912.9215339
169.67033	0.0	0.0	-0.069	99			5912.9385501
169.75824	0.0	0.0	0.121	99			5912.9604935
169.67033	0.0	0.0	-0.053	99			5912.9802987
169.67033	0.0	0.0	0.109	99			5913.002056
169.67033	0.0	0.0	-0.018	99			5913.0255157
169.67033	0.0	0.0	-0.429	99			5913.042634
169.67033	0.0	0.0	-0.406	99			5913.0656737
169.67033	0.0	0.0	0.465	99			5913.0824538
169.67033	0.0	0.0	0.277	99			5913.0997863
169.67033	0.0	0.0	-0.255	99			5913.1226946
169.67033	0.0	0.0	0.041	99			5913.1390145
169.67033	0.0	0.0	-0.174	99			5913.1585205
169.67033	0.0	0.0	-0.258	99			5913.1814169
169.67033	0.0	0.0	-0.427	99			5913.2033466
169.75824	0.0	0.0	0.137	99			5913.2337644
169.75824	0.0	0.0	0.108	99			5913.250205
169.67033	0.0	0.0	0.308	99			5913.2661832
169.67033	0.0	0.0	-0.348	99			5913.2822156
169.67033	0.0	0.0	0.174	99			5913.2998598
169.67033	0.0	0.0	-0.043	99			5913.3191505
169.67033	0.0	0.0	0.313	99			5913.3412728
169.75824	0.0	0.0	0.378	99			5913.3584151
169.67033	0.0	0.0	0.239	99			5913.3901341
169.67033	0.0	0.0	-0.339	99			5913.4057912
169.67033	0.0	0.0	0.359	99			5913.421884
169.67033	0.0	0.0	-0.232	99			5913.4411701
169.67033	0.0	0.0	-0.182	99			5913.4659028
169.67033	0.0	0.0	0.235	99			5913.4826055
169.67033	0.0	0.0	0.367	99			5913.5002589
169.67033	0.0	0.0	0.369	99			5913.5190589
169.67033	0.0	0.0	0.282	99			5913.5403085
169.67033	0.0	0.0	-0.215	99			5913.5658178
169.75824	0.0	0.0	0.03	99			5913.583482
169.67033	0.0	0.0	-0.431	99			5913.6000011
169.67033	0.0	0.0	0.323	99			5913.6224613
169.67033	0.0	0.0	-0.111	99			5913.6396899
169.67033	0.0	0.0	0.062	99			5913.6649057
169.67033	0.0	0.0	-0.387	99			5913.698102
169.75824	0.0	0.0	0.252	99			5913.7149811
169.67033	0.0	0.0	-0.171	99			5913.7319371
169.75824	0.0	0.0	-0.379	99			5913.747972
169.67033	0.0	0.0	0.435	99			5913.7663059
169.67033	0.0	0.0	0.292	99			5913.7838874
169.67033	0.0	0.0	0.411	99			5913.8003278
169.75824	0.0	0.0	-0.276	99			5913.8187241
169.75824	0.0	0.0	-0.357	99			5913.8470271
169.67033	0.0	0.0	-0.239	99			5913.8688844
169.75824	0.0	0.0	-0.125	99			5913.885546
169.67033	0.0	0.0	-0.027	99			5913.9025004
169.67033	0.0	0.0	0.414	99			5913.9186262
169.75824	0.0	0.0	0.384	99			5913.9513423
169.67033	0.0	0.0	0.015	99			5913.9679067
169.67033	0.0	0.0	-0.348	99			5913.9848428
169.67033	0.0	0.0	-0.47	99			5914.0018038
169.67033	0.0	0.0	-0.455	99			5914.0216065
169.67033	0.0	0.0	-0.335	99			5914.0384901
169.67033	0.0	0.0	0.065	99			5914.0619801
169.67033	0.0	0.0	-0.32	99			5914.0799187
169.67033	0.0	0.0	-0.421	99			5914.108393
169.67033	0.0	0.0	0.081	99			5914.1256661
169.67033	0.0	0.0	0.208	99			5914.1425663
