current_position	current_torque	current_velocity	demanded_torque	event_id	event_type	prediction	timestamp
49.05495	0.0	0.0	-0.453	99			5770.1021966
49.05495	0.0	0.0	0.053	99			5770.4654338
49.05495	0.0	0.0	-0.095	99			5770.480544
49.14286	0.0	0.0	0.151	99			5770.5061217
49.05495	0.0	0.0	0.14	99			5770.5230289
49.05495	0.0	0.0	0.018	99			5770.5401961
49.05495	0.0	0.0	-0.274	99			5770.5631484
49.05495	0.0	0.0	-0.383	99			5770.5817816
49.05495	0.0	0.0	0.373	99			5770.6060112
49.14286	0.0	0.0	-0.089	99			5770.6234997
49.14286	0.0	0.0	-0.018	99			5770.6400297
49.14286	0.0	0.0	-0.498	99			5770.6588178
49.05495	0.0	0.0	-0.272	99			5770.6808237
49.05495	0.0	0.0	0.236	99			5770.7006932
49.05495	0.0	0.0	-0.403	99			5770.7185191
49.05495	0.0	0.0	0.171	99			5770.7409245
49.14286	0.0	0.0	0.408	99			5770.7643989
49.05495	0.0	0.0	-0.306	99			5770.7812036
49.14286	0.0	0.0	0.031	99			5770.8013712
49.14286	0.0	0.0	0.161	99			5770.820184
49.14286	0.0	0.0	-0.141	99			5770.83856
49.05495	0.0	0.0	-0.122	99			5770.8586646
49.05495	0.0	0.0	-0.173	99			5770.8825782
49.14286	0.0	0.0	-0.379	99			5770.8985356
49.14286	0.0	0.0	-0.216	99			5770.9185645
49.05495	0.0	0.0	0.428	99			5770.9386492
49.14286	0.0	0.0	0.023	99			5770.9592573
49.05495	0.0	0.0	-0.481	99			5770.98052
49.05495	0.0	0.0	0.134	99			5771.0005146
49.14286	0.0	0.0	0.418	99			5771.0228941
49.23077	0.0	0.0	0.448	99			5771.0385782
49.40659	0.0	0.04796	0.355	99			5771.064689
49.67033	0.0	0.09592	0.424	99			5771.0816385
50.02198	0.0	0.16787	0.391	99			5771.1006496
50.46154	0.0	0.23981	0.071	99			5771.1214492
50.98901	0.0	0.33573	-0.115	99			5771.1386165
51.69231	0.0	0.40767	0.4	99			5771.1606757
52.3956	0.0	0.5036	-0.275	99			5771.1812341
53.18681	0.0	0.57554	0.033	99			5771.2020784
53.97802	0.0	0.6235	-0.151	99			5771.2196923
54.94505	0.0	0.69544	0.03	99			5771.2385156
56.0	0.0	0.76739	0.084	99			5771.2587432
57.23077	0.0	0.83933	-0.097	99			5771.2831644
58.54945	0.0	0.95923	0.089	99			5771.3006571
59.86813	0.0	1.05516	-0.1	99			5771.3208995
61.18681	0.0	1.1271	-0.427	99			5771.3386815
62.32967	0.0	1.1271	0.432	99			5771.3603469
63.47253	0.0	1.05516	0.477	99			5771.3806749
64.61539	0.0	1.00719	-0.365	99			5771.4007606
65.67033	0.0	0.98321	-0.323	99			5771.4216091
66.72527	0.0	0.95923	0.259	99			5771.4386776
67.78022	0.0	0.93525	0.094	99			5771.4590056
68.74725	0.0	0.88729	-0.34	99			5771.4826675
69.8022	0.0	0.88729	-0.384	99			5771.4990202
71.03297	0.0	0.91127	0.329	99			5771.522812
72.0	0.0	0.91127	-0.103	99			5771.5386679
72.96703	0.0	0.91127	-0.037	99			5771.5590148
74.10989	0.0	0.88729	0.234	99			5771.5816259
75.16483	0.0	0.88729	-0.425	99			5771.598929
76.21978	0.0	0.91127	0.074	99			5771.6183686
77.27473	0.0	0.91127	0.059	99			5771.6390062
78.50549	0.0	0.93525	0.252	99			5771.6595812
79.73627	0.0	0.98321	0.466	99			5771.6811265
80.96703	0.0	1.03118	0.337	99			5771.7014179
82.37363	0.0	1.07914	-0.129	99			5771.7185906
83.86813	0.0	1.15108	-0.36	99			5771.7384454
85.36264	0.0	1.19904	-0.248	99			5771.7588891
86.94505	0.0	1.27098	-0.262	99			5771.7815729
88.52747	0.0	1.34293	-0.018	99			5771.7991171
90.1978	0.0	1.39089	-0.208	99			5771.8184389
91.86813	0.0	1.41487	-0.25	99			5771.8385692
93.36264	0.0	1.39089	-0.409	99			5771.8595077
94.85714	0.0	1.36691	0.018	99			5771.8824336
96.43956	0.0	1.34293	-0.213	99			5771.8985986
98.02198	0.0	1.34293	-0.203	99			5771.921121
99.42857	0.0	1.34293	0.133	99			5771.9407093
100.92308	0.0	1.34293	-0.254	99			5771.9606975
102.41758	0.0	1.31895	-0.484	99			5771.9810365
103.82417	0.0	1.27098	0.241	99			5772.0011451
105.05495	0.0	1.247	0.407	99			5772.0184895
106.10989	0.0	1.15108	0.156	99			5772.0387607
107.34066	0.0	1.05516	-0.329	99			5772.059104
108.30769	0.0	0.98321	0.421	99			5772.0826482
109.18681	0.0	0.91127	-0.48	99			5772.0989702
109.8022	0.0	0.81535	0.183	99			5772.1196102
110.59341	0.0	0.71942	0.312	99			5772.1383905
111.56044	0.0	0.71942	-0.438	99			5772.1587919
112.35165	0.0	0.69544	-0.029	99			5772.1819764
113.05495	0.0	0.69544	0.058	99			5772.1993727
113.67033	0.0	0.64748	-0.246	99			5772.2185386
114.1978	0.0	0.57554	0.178	99			5772.2389903
114.54945	0.0	0.5036	0.164	99			5772.2590127
114.98901	0.0	0.43165	-0.467	99			5772.283467
115.34066	0.0	0.35971	-0.363	99			5772.299714
115.42857	0.0	0.28777	0.257	99			5772.324131
115.42857	0.0	0.19185	0.143	99			5772.3426341
115.42857	0.0	0.09592	0.292	99			5772.362397
115.42857	0.0	0.02398	-0.453	99			5772.3813989
115.42857	0.0	0.0	-0.213	99			5772.4032036
115.42857	0.0	0.0	0.198	99			5772.4207447
115.42857	0.0	0.0	-0.067	99			5772.4390396
115.42857	0.0	0.0	0.055	99			5772.4589176
115.42857	0.0	0.0	-0.4	99			5772.4806537
115.42857	0.0	0.0	0.061	99			5772.4991538
115.42857	0.0	0.0	0.491	99			5772.5241221
115.42857	0.0	0.0	0.432	99			5772.5414155
115.42857	0.0	0.0	-0.107	99			5772.5590084
115.42857	0.0	0.0	0.16	99			5772.5825032
115.42857	0.0	0.0	0.025	99			5772.5992944
115.42857	0.0	0.0	0.141	99			5772.6222679
115.42857	0.0	0.0	0.112	99			5772.6391931
115.69231	0.0	0.02398	-0.134	99			5772.6589898
