current_position	current_torque	current_velocity	demanded_torque	event_id	event_type	prediction	timestamp
118.24176	0.0	0.0	-0.124	99			5591.3481685
118.32967	0.0	0.0	0.165	99			5591.711532
118.32967	0.0	0.0	0.498	99			5591.7268461
118.32967	0.0	0.0	-0.157	99			5591.7457457
118.32967	0.0	0.0	-0.194	99			5591.7684768
118.24176	0.0	0.0	0.288	99			5591.7895126
118.32967	0.0	0.0	-0.451	99			5591.8053443
118.24176	0.0	0.0	-0.231	99			5591.8249291
118.32967	0.0	0.0	-0.297	99			5591.8457994
118.32967	0.0	0.0	0.333	99			5591.8686079
118.32967	0.0	0.0	0.023	99			5591.8878133
118.32967	0.0	0.0	-0.341	99			5591.9055178
118.32967	0.0	0.0	0.016	99			5591.9261098
118.32967	0.0	0.0	-0.175	99			5591.9466002
118.32967	0.0	0.0	0.116	99			5591.9677124
118.32967	0.0	0.0	0.209	99			5591.9883585
118.32967	0.0	0.0	0.385	99			5592.0057545
118.32967	0.0	0.0	0.144	99			5592.0270988
118.32967	0.0	0.0	-0.147	99			5592.0455962
118.32967	0.0	0.0	-0.201	99			5592.0687641
118.32967	0.0	0.0	0.286	99			5592.0895129
118.32967	0.0	0.0	-0.369	99			5592.1075705
118.24176	0.0	0.0	0.493	99			5592.125196
118.32967	0.0	0.0	0.433	99			5592.1454223
118.24176	0.0	0.0	-0.26	99			5592.168862
118.24176	0.0	0.0	-0.239	99			5592.1873513
118.24176	0.0	0.0	-0.479	99			5592.2055453
118.32967	0.0	0.0	-0.309	99			5592.2276791
118.32967	0.0	0.0	-0.325	99			5592.2450612
118.32967	0.0	0.0	-0.478	99			5592.2656911
118.32967	0.0	0.0	-0.223	99			5592.2859381
118.32967	0.0	0.0	-0.402	99			5592.3051977
118.32967	0.0	0.0	0.483	99			5592.335334
118.32967	0.0	0.0	-0.222	99			5592.3514836
118.32967	0.0	0.0	-0.312	99			5592.3687163
118.24176	0.0	0.0	-0.175	99			5592.3857357
118.32967	0.0	0.0	0.185	99			5592.4050377
118.32967	0.0	0.0	-0.205	99			5592.4283114
118.32967	0.0	0.0	0.198	99			5592.445247
