current_force	current_position	current_torque	current_velocity	demanded_torque	event_id	event_type	prediction	timestamp
0	0	0	0	0	99			1482.8748373
0	0	0	0	0	99			1482.9837032
0	0	0	0	0	99			1483.090426
0.9687	85.184	0.0	87.39325	0.0	99			1483.1940121
2.0117	86.592	0.04734	394.23514	0.0	99			1483.2166385
2.4289	87.384	0.03157	110.87491	0.0	99			1483.233169
2.4289	90.2	0.11032	199.77219	0.0	99			1483.2501653
2.4289	93.632	0.03946	73.32098	0.0	99			1483.2673948
2.6375	94.6	0.03157	66.22946	0.0	99			1483.284378
3.0547	96.976	0.05522	102.03994	0.0	99			1483.3014471
3.4719	98.384	0.0631	119.74404	0.0	99			1483.317336
4.0977	100.584	0.03157	147.32051	0.0	99			1483.334235
2.8461	102.52	0.03157	147.32051	0.0	99			1483.3511886
3.4719	102.52	0.05522	120.60009	0.0	99			1483.3681533
2.2203	105.424	0.0631	77.99152	0.0	99			1483.3851257
1.5945	105.952	0.07098	73.73481	0.0	99			1483.4020999
1.3859	106.744	-0.22013	44.62349	0.0	99			1483.418015
1.3859	107.36	0.14959	66.02306	0.0	99			1483.434978
1.1773	108.152	0.05522	56.61602	0.0	99			1483.4519236
0.9687	108.504	0.08672	18.45303	0.0	99			1483.4689105
1.5945	108.592	0.0079	24.63957	0.0	99			1483.4859351
1.3859	108.592	0.0	0.0	0.0	99			1483.5038838
0.7601	108.592	0.0	0.0	0.0	99			1483.5205765
0.9687	108.592	0.0	0.0	0.0	99			1483.5367141
1.1773	108.592	0.0	0.0	0.0	99			1483.552655
0.3429	108.592	0.0	0.0	0.0	99			1483.5787245
0.9687	108.592	0.0	0.0	0.0	99			1483.5957545
0.5515	108.592	0.0	0.0	0.0	99			1483.6116013
-0.0743	108.592	0.0	0.0	0.0	99			1483.6285796
0.3429	108.592	0.0	0.0	0.0	99			1483.6443841
-0.0743	108.592	-0.0079	0.0	0.0	99			1483.6614034
-1.1173	108.504	0.0079	0.0	0.0	99			1483.6783372
-2.1603	108.416	-0.01579	0.0	0.0	99			1483.6952563
-2.1603	108.152	-0.03946	-27.57847	0.0	99			1483.7121917
-2.7861	107.976	-0.05522	-24.63925	0.0	99			1483.7281794
-2.5775	107.536	-0.11032	-31.98952	0.0	99			1483.7452624
-3.8291	107.272	-0.11818	-36.95974	0.0	99			1483.7621026
-3.4119	106.48	-0.05522	-26.43196	0.0	99			1483.7790508
-2.9947	105.864	0.07098	-40.84299	0.0	99			1483.7950214
-2.7861	105.16	0.13389	-43.32028	0.0	99			1483.8119637
