current_force	current_position	current_torque	current_velocity	demanded_torque	event_id	event_type	prediction	timestamp
0.0	0	0	0	0	99			10300.4068762
0.0	0	0	0	0	99			10300.5146582
0.0	0	0	0	0	99			10300.6170821
0.0028475	197.56	0.0	39509.60547	0.0	99			10300.7196944
0.004556	197.56	0.0	0.0	0.0	99			10300.8005341
0.0068340000000000015	197.56	0.0	0.0	0.0	99			10300.8159568
0.009112	197.56	0.0	0.0	0.0	99			10300.8329173
0.01139	197.472	0.0	0.0	0.0	99			10300.8498666
0.01139	197.56	0.0	0.0	0.0	99			10300.8667893
0.01139	197.56	0.0	0.0	0.0	99			10300.8827757
0.01139	197.56	0.0	0.0	0.0	99			10300.8987032
0.01139	197.56	0.0	0.0	0.0	99			10300.9147139
0.01139	197.56	0.0	0.0	0.0	99			10300.9316527
0.01139	197.56	0.0	0.0	0.0	99			10300.9475918
0.01139	197.56	0.0	0.0	0.0	99			10300.9635295
0.018566	197.56	0.0	0.0	0.0	99			10300.9794771
0.018566000000000003	197.56	0.0	0.0	0.0	99			10300.996511
0.018566	197.56	0.0	0.0	0.0	99			10301.0124534
0.018566	197.56	0.0	0.0	0.0	99			10301.0294053
0.018566	197.56	0.0	0.0	0.0	99			10301.0452947
0.01139	197.56	0.0	0.0	0.0	99			10301.0622554
0.01139	197.56	0.0	0.0	0.0	99			10301.0792191
0.01139	197.472	0.0	0.0	0.0	99			10301.0951311
0.01139	197.56	0.0	0.0	0.0	99			10301.1121129
0.01139	197.56	0.0	0.0	0.0	99			10301.1280956
0.01139	197.56	0.0	0.0	0.0	99			10301.145052
0.01139	197.56	0.0	0.0	0.0	99			10301.162034
0.01139	197.472	0.0	0.0	0.0	99			10301.1789703
0.01139	197.56	0.0	0.0	0.0	99			10301.1959163
0.01139	197.56	0.0	0.0	0.0	99			10301.2128801
0.01139	197.56	0.0	0.0	0.0	99			10301.2298655
0.01139	197.56	0.0	0.0	0.0	99			10301.2478202
0.01139	197.56	0.0	0.0	0.0	99			10301.2638309
0.01139	197.56	0.0	0.0	0.0	99			10301.2797435
0.01139	197.56	0.0	0.0	0.0	99			10301.2957486
0.01139	197.56	0.0	0.0	0.0	99			10301.3118074
0.01139	197.56	0.0	0.0	0.0	99			10301.3276211
0.018566	197.56	0.0	0.0	0.0	99			10301.3435806
0.025742000000000004	197.56	0.0	0.0	0.0	99			10301.3605545
0.025742000000000004	197.56	0.0	0.0	0.0	99			10301.3774791
0.032917999999999996	197.56	0.0	0.0	0.0	99			10301.3944261
0.032918	197.56	0.0	0.0	0.0	99			10301.4104106
0.025741999999999998	197.56	0.0	0.0	0.0	99			10301.4263577
0.025741999999999998	197.56	0.0	0.0	0.0	99			10301.4433022
0.032918	197.56	0.0	0.0	0.0	99			10301.4602623
0.025742000000000004	197.56	0.0	0.0	0.0	99			10301.4772033
0.025741999999999998	197.472	0.0	0.0	0.0	99			10301.494181
0.025741999999999998	197.56	0.0	0.0	0.0	99			10301.5113441
0.018566	197.56	0.0	0.0	0.0	99			10301.5281628
0.01139	197.56	0.0	0.0	0.0	99			10301.545063
0.01139	197.56	0.0	0.0	0.0	99			10301.5610249
0.01139	197.472	0.0	0.0	0.0	99			10301.57792
0.01139	197.56	0.0	0.0	0.0	99			10301.5949684
0.018566	197.56	0.0	0.0	0.0	99			10301.6119511
0.018566000000000003	197.472	0.0	0.0	0.0	99			10301.6287841
0.025741999999999998	197.56	0.0	0.0	0.0	99			10301.6449473
0.025742000000000004	197.56	0.0	0.0	0.0	99			10301.661809
0.025741999999999998	197.56	0.0	0.0	0.0	99			10301.677759
0.018566	197.56	0.0	0.0	0.0	99			10301.6946332
0.018566	197.56	0.0	0.0	0.0	99			10301.7106459
0.01139	197.56	0.0	0.0	0.0	99			10301.7266542
0.01139	197.56	0.0	0.0	0.0	99			10301.7434125
0.01139	197.56	0.0	0.0	0.0	99			10301.7594172
0.01139	197.56	0.0	0.0	0.0	99			10301.7754075
0.01139	197.56	0.0	0.0	0.0	99			10301.7924088
0.01139	197.56	0.0	0.0	0.0	99			10301.8093445
0.01139	197.56	0.0	0.0	0.0	99			10301.8252318
0.01139	197.56	0.0	0.0	0.0	99			10301.8422322
0.01139	197.472	0.0	0.0	0.0	99			10301.8591755
0.01139	197.56	0.0	0.0	0.0	99			10301.8761254
0.01139	197.56	0.0	0.0	0.0	99			10301.8930863
0.018566	197.56	0.0	0.0	0.0	99			10301.9102782
0.018566000000000003	197.472	0.0	0.0	0.0	99			10301.9272268
0.018566	197.56	0.0	0.0	0.0	99			10301.944152
0.018566	197.56	0.0	0.0	0.0	99			10301.961049
0.018566	197.56	0.0	0.0	0.0	99			10301.978008
0.01139	197.56	0.0	0.0	0.0	99			10301.9940151
0.01139	197.472	0.0	0.0	0.0	99			10302.0109203
0.01139	197.56	0.0	0.0	0.0	99			10302.0279623
0.01139	197.56	0.0	0.0	0.0	99			10302.0448757
0.01139	197.56	0.0	0.0	0.0	99			10302.061843
0.01139	197.56	0.0	0.0	0.0	99			10302.0781144
0.01139	197.56	0.0	0.0	0.0	99			10302.0946985
0.018566	197.56	0.0	0.0	0.0	99			10302.1106304
0.025742000000000004	197.56	0.0	0.0	0.0	99			10302.1275617
0.032918	197.56	0.0	0.0	0.0	99			10302.1444677
0.040094000000000005	197.56	0.0	0.0	0.0	99			10302.1604807
0.04727	197.56	0.0	0.0	0.0	99			10302.1766009
0.04727	197.56	0.0	0.0	0.0	99			10302.1933804
0.040094000000000005	197.56	0.0	0.0	0.0	99			10302.2104958
0.032918	197.472	0.0	0.0	0.0	99			10302.226319
0.032917999999999996	197.56	0.0	0.0	0.0	99			10302.2432922
0.025742000000000004	197.56	0.0	0.0	0.0	99			10302.2602448
0.018566	197.56	0.0	0.0	0.0	99			10302.2762145
0.018566	197.56	0.0	0.0	0.0	99			10302.2931449
0.011392	197.56	0.0	0.0	0.0	99			10302.3100702
-0.002957999999999998	197.56	0.0	0.0	0.0	99			10302.3260427
-0.002957999999999999	197.56	0.0	0.0	0.0	99			10302.3429767
-0.002957999999999998	197.56	0.0	0.0	0.0	99			10302.3599565
-0.002957999999999998	197.56	0.0	0.0	0.0	99			10302.3769486
0.004216000000000001	197.56	0.0	0.0	0.0	99			10302.3938687
0.018566	197.56	0.0	0.0	0.0	99			10302.4109024
0.025742000000000004	197.472	0.0	0.0	0.0	99			10302.4277027
0.025742000000000004	197.56	0.0	0.0	0.0	99			10302.4436573
0.025741999999999998	197.56	0.0	0.0	0.0	99			10302.459654
0.025741999999999998	197.56	0.0	0.0	0.0	99			10302.4756542
0.018566	197.56	0.0	0.0	0.0	99			10302.4926121
0.01139	197.56	0.0	0.0	0.0	99			10302.5085469
0.01139	197.56	0.0	0.0	0.0	99			10302.525031
0.01139	197.56	0.0	0.0	0.0	99			10302.5416824
0.01139	197.56	0.0	0.0	0.0	99			10302.5586585
0.01139	197.56	0.0	0.0	0.0	99			10302.5756227
0.01139	197.56	0.0	0.0	0.0	99			10302.5915786
0.01139	197.56	0.0	0.0	0.0	99			10302.6075565
0.01139	197.472	0.0	0.0	0.0	99			10302.6233903
0.01139	197.56	0.0	0.0	0.0	99			10302.6405037
0.01139	197.56	0.0	0.0	0.0	99			10302.6563934
0.01139	197.472	0.0	0.0	0.0	99			10302.67232
0.01139	197.56	0.0	0.0	0.0	99			10302.6893039
0.01139	197.56	0.0	0.0	0.0	99			10302.7062575
0.01139	197.56	0.0	0.0	0.0	99			10302.7231639
